id,Name,Address,District,Test Type,geometry
1,Avitis Super Specialty Hospitals Private Limited,Avitis Super Specialty Hospitals Private Limited  XX/882  ThrissurPollachi Main Road  Nemmara Palakkad,Palakkad,TRUENAT,POINT(76.5802837 10.5904137)
2,Jubilee Mission Medical College & RI,Jubilee Mission Medical College & RI  Thrissur,Thrissur,TRUENAT,POINT(76.227551 10.520328)
3,Aswini Diagnostic Services,Aswini Diagnostic Services  Ramnath Building  Jail Road  Kozhikode,Kozhikode,TRUENAT,POINT(75.789024 11.25194)
4,Meitra Hospital,Meitra Hospital 38/2208-B  Karaparamba   Kunduparamba MiniBypass  Kozhikode,Kozhikode,TRUENAT,POINT(75.77476 11.301696)
5,Valluvanad Hospital Complex Limited,Valluvanad Hospital Complex Limited  Ottapalam,Palakaad,TRUENAT,POINT(76.3583728 10.774635)
6,El Lab Metropolis,El Lab Metropolis  North Paramara Road  Opp Town Hall  Cochin (P),Ernakulam,TRUENAT,POINT(76.285099 9.989683)
7,Lisie Hospital,Lisie Hospital  a unit of Lisie Medical Institution  Kaloor  Kochi ,Ernakulam,TRUENAT,POINT(76.2880624 9.9882711)
8,Baby Memorial Hospital Ltd,Baby Memorial Hospital Ltd  I G Road  Arayadathupalam  Kozhikode,Kozhikode,TRUENAT,POINT(75.805073 11.278596)
9,EMS Memorial Co-operative Hospital & Research Centre Ltd,EMS Memorial Co-operative Hospital & Research Centre Ltd  Panambi  P.O. Perinthalmanna  Mallappuram,Malappuram,TRUENAT,POINT(76.255412 10.976171)
10,Believers Church Medical College,Believers Church Medical College  Thiruvalla,Pathanamthitta,TRUENAT,POINT(76.575368 9.416575)
11,KIMS,KIMS  Trivandrum,Thiruvananthapuram,TRUENAT,POINT(76.909322113257 8.51365695)
12,NIMS,NIMS  Trivandrum,Thiruvananthapuram,TRUENAT,POINT(77.0660262021885 8.41336375)
13,R cell diagnostics,R cell diagnostics  Kozhikode,Kozhikode,TRUENAT,POINT(75.805073 11.278596)
14,Iqraa International Hospital & Research Centre,Iqraa International Hospital & Research Centre  Kozhikode,Kozhikode,TRUENAT,POINT(75.797818 11.286263)
15,Lifeline supersepciality Hospital,Lifeline supersepciality Hospital  Adoor,Kollam,TRUENAT,POINT(76.7041367 9.1634609)
16,Almas Hospital,Almas Hospital  Kottakkal   Malappuram,Malappuram,TRUENAT,POINT(75.9908177531103 10.99989635)
17,Lourdes Hospital,Lourdes Hospital  Ernakulam,Ernakulam,TRUENAT,POINT(76.2773859929001 10.00668145)
18,Amala Medical  College,Amala Medical  College  Thrissur,Thrissur,TRUENAT,POINT(76.1668484832284 10.56163825)
19,Central Laboratories,Central Laboratories  A Unit of Diachem Healthcare Private Limited  Bund Road Kanjany  Thrissur,Thrissur,TRUENAT,POINT(76.269133 10.449388)
20,KMCT Medical College,KMCT Medical College  Kozhikode,Kozhikode,TRUENAT,POINT(75.9701742689561 11.3258412)
21,Kozhikode District  Co-operative Hospital,Kozhikode District  Co-operative Hospital  Kozhikode,Kozhikode,TRUENAT,POINT(75.784490519638 11.27691015)
22,Janata Diagnostics,Janata Diagnostics  Tirurangadi  Malappuram,Malappuram,TRUENAT,POINT(75.9131763 11.0431003)
23,Lakshmi Hospital,Lakshmi Hospital  Diwans Road  Ernakulam,Ernakulam,TRUENAT,POINT(76.2836928670294 9.96636565)
24,NS Memorial Institute of Medical Sciences,NS Memorial Institute of Medical Sciences  Palathara  Thattamala P.O Kollam,Kollam,TRUENAT,POINT(76.643791 8.868801)
25,Neethi Lab,Neethi Lab  Thettammal Building  Near Government Hospital  Tirur  Malappuram,Malappuram,TRUENAT,POINT(75.9227536 10.912188)
26,MDC SCANS AND LABORATORY,MDC SCANS AND LABORATORY  PAMPPORETH TOWER  PAZHAYA ROAD MEDICAL COLLEGE P O  THIRUVANANTHAPURAM,Thiruvananthapuram,TRUENAT,POINT(76.929562 8.509097)
27,Korambayil Hospital and Diagnostic Centre,Korambayil Hospital and Diagnostic Centre  Manjeri,Malappuram,TRUENAT,POINT(76.232619 10.97501)
28,Micro Health Laboratories,Micro Health Laboratories  MP Tower  Next to Lavanya Plaza  Near Taluk Hospital  Thamarassery  Kozhikode,Kozhikode,TRUENAT,POINT(75.936380 11.411986)
29,Jubilee Memorial Hospital,Jubilee Memorial Hospital  Meads Lane  Palayam  Thiruvananthapuram,Thiruvananthapuram,TRUENAT,POINT(76.9521233256318 8.5018901)
30,Hi-tech Diagnostic Centre,Hi-tech Diagnostic Centre  1st Floor KTM Bike Showroom  Janatha Stop  Sahodaran Ayyappan Road   Vyttila  Kochi,Ernakulam,TRUENAT,POINT(76.332486 9.956297)
31,Daya General Hospital Limited,Daya General Hospital Limited  Shornur Road  Thrissur,Thrissur,TRUENAT,POINT(76.269133 10.449388)
32,Jeeva Specialty Lab (A Hi Tech Diagnostic Institute),Jeeva Specialty Lab (A Hi Tech Diagnostic Institute)  4th Floor  Academic Block  Jubilee Mission Medical College and RI  Thrissur,Thrissur,TRUENAT,POINT(76.194071 10.6149)
33,KDC Lab Kanhangad,KDC Lab Kanhangad  Mishal Towers  Opp. Little flower G.H.S School  Puthiyakotta  Kanhangad  Kasaragod,Kasaragod,TRUENAT,POINT(75.0924627 12.3091533)
34,St Gregorios Medical Mission Hospital,St Gregorios Medical Mission Hospital  Parumala  Pathanamthitta,Pathanamthitta,TRUENAT,POINT(76.578686 9.39391)
35,Western Hospital & Nursing Home,Western Hospital & Nursing Home  Nadakkavu  Kozhikode,Kozhikode,TRUENAT,POINT(76.5851092 9.9922871)
36,MOSC Medical College,MOSC Medical College  First Floor  Department of Microbiology  College Block  Medical College Road P.O. Kolenchery  Kochi ,Ernakulam,TRUENAT,POINT(76.354024 10.048027)
37,Nirmala Hospital,Nirmala Hospital  Dept. of Molecular Biology  Kozhikode (P),Kozhikode,TRUENAT,POINT(75.824588 11.291804)
38,MBH Hospital LLP,MBH Hospital LLP  Malappuram,Malappuram,TRUENAT,POINT(76.081057 11.0540914)
39,Paalana Institute of Medical Sciences,Paalana Institute of Medical Sciences  Kannadi PO  Palakkad (P),Palakkad,TRUENAT,POINT(76.651172 10.738399)
40,Dr. Scan Diagnostic Centre,Dr. Scan Diagnostic Centre  Opposite Soubhaghya Appartments  Near Arayidathupalam  Mavoor road  Kozhikode (P),Kozhikode,TRUENAT,POINT(75.958626 11.126718)
41,Ahalia Central Laboratory,Ahalia Central Laboratory  A Unit of Ahalia International Foundation  Ahalia Campus  Kozhipara  Palakkad (P),Palakkad,TRUENAT,POINT(76.826887 10.794429)
42,Gimcare Hospital,Gimcare Hospital  A Unit of Genesis Institute of Medical Science Pvt Ltd.  Chala bypass  Kannur,Kannur,TRUENAT,POINT(75.358829 11.862946)
